especie;bloco;substrato;altura
paineira;1;1;27,14
paineira;2;1;30
paineira;3;1;19
paineira;4;1;16,14
paineira;5;1;18,5
paineira;6;1;18,14
paineira;1;2;38
paineira;2;2;29,75
paineira;3;2;37,25
paineira;4;2;28,25
paineira;5;2;28,75
paineira;6;2;31,62
paineira;1;3;42,5
paineira;2;3;39,28
paineira;3;3;37,25
paineira;4;3;23
paineira;5;3;24,75
paineira;6;3;21,12
tamboril;1;1;16,62
tamboril;2;1;21,87
tamboril;3;1;23,5
tamboril;4;1;17,28
tamboril;5;1;23,4
tamboril;6;1;17,62
tamboril;1;2;32,83
tamboril;2;2;42,5
tamboril;3;2;51
tamboril;4;2;25
tamboril;5;2;39,87
tamboril;6;2;27,12
tamboril;1;3;41,85
tamboril;2;3;56
tamboril;3;3;24,14
tamboril;4;3;15,4
tamboril;5;3;32
tamboril;6;3;38,16
